,Product Name,Company,Original_Price,discound_Price,discound
0,"Striped Men Hooded Neck Red, Black T-Shirt",HELMONT,234,999,76% 
1,"Solid Men Mandarin Collar Grey, Black T-Shirt",TRIPR,219,"1,999",89% 
2,Printed Men Round Neck Yellow T-Shirt,BLIVE,166,"1,999",91% 
3,Printed Men Round Neck Black T-Shirt,BLIVE,151,"1,399",89% 
4,Striped Men Round Neck Dark Blue T-Shirt,UZee,159,"1,299",87% 
5,"Color Block Men Hooded Neck Light Green, Black T-Shirt",HELMONT,186,999,81% 
6,Printed Men Round Neck Pink T-Shirt,TRIPR,151,"1,399",89% 
7,"Striped Men Round Neck Maroon, Grey T-Shirt",BLIVE,189,"1,399",86% 
8,Printed Men Round Neck Black T-Shirt,TRIPR,151,"1,399",89% 
9,"Solid Men Henley Neck Maroon, Dark Blue T-Shirt",BLIVE,356,"2,999",88% 
10,"Striped Men Round Neck Black, Green, White T-Shirt",Jump Cuts,199,"1,399",85% 
11,Printed Men Round Neck Dark Blue T-Shirt,TRIPR,164,"1,399",88% 
12,"Color Block Men Round Neck Black, Red T-Shirt",TRIPR,190,"1,999",90% 
13,Solid Men Hooded Neck Yellow T-Shirt,HELMONT,159,999,84% 
14,Color Block Men Round Neck Multicolor T-Shirt,TRIPR,348,"2,999",88% 
15,"Solid Men Mandarin Collar Red, Black T-Shirt",TRIPR,281,"1,999",85% 
16,Printed Men Round Neck Dark Green T-Shirt,TRIPR,164,"1,399",88% 
17,Striped Men Hooded Neck Maroon T-Shirt,HELMONT,151,999,84% 
18,"Solid Men Mandarin Collar Pink, Black T-Shirt",TRIPR,253,"1,999",87% 
19,"Solid Men Mandarin Collar Brown, Black T-Shirt",TRIPR,242,"1,999",87% 
20,Solid Men Henley Neck Dark Blue T-Shirt,BLIVE,175,"1,999",91% 
21,"Solid Men Round Neck White, Black T-Shirt",FastColors,255,"1,999",87% 
22,Solid Men Round Neck Black T-Shirt,FastColors,246,"1,999",87% 
23,Striped Men Round Neck Yellow T-Shirt,UZee,159,"1,999",92% 
24,Printed Men Round Neck Brown T-Shirt,TRIPR,151,"1,399",89% 
25,Color Block Men Round Neck Multicolor T-Shirt,TRIPR,188,"1,399",86% 
26,Striped Men Round Neck Red T-Shirt,UZee,151,"1,999",92% 
27,"Printed Men Round Neck Dark Blue, Grey T-Shirt",Jump Cuts,234,"1,519",84% 
28,Printed Men Round Neck Grey T-Shirt,TRIPR,151,"1,399",89% 
29,"Striped Men Round Neck Maroon, Grey T-Shirt",BLIVE,159,999,84% 
30,"Solid Men Mandarin Collar Dark Green, Black T-Shirt",TRIPR,253,"1,999",87% 
31,Printed Men Round Neck White T-Shirt,TRIPR,205,"1,399",85% 
32,"Striped Men Round Neck Dark Blue, Grey T-Shirt",BLIVE,193,"1,399",86% 
33,Printed Men Round Neck Red T-Shirt,BLIVE,151,"1,999",92% 
34,"Solid, Color Block Men Round Neck White T-Shirt",FastColors,249,"1,399",82% 
35,Printed Men Round Neck Reversible White T-Shirt,NB NICKY BOY,219,"1,100",80% 
36,Printed Men Round Neck Navy Blue T-Shirt,Jump Cuts,199,"1,519",86% 
37,"Color Block Men Round Neck Dark Green, White, Yellow T-...",TRIPR,204,"1,999",89% 
38,Checkered Men Polo Neck Blue T-Shirt,Eyebogler,329,"1,299",74% 
39,"Solid Men Henley Neck Dark Blue, Maroon T-Shirt",BLIVE,159,"1,399",88% 
40,Printed Men Hooded Neck Black T-Shirt,TRIPR,253,"1,399",81% 
41,Solid Men Hooded Neck Black T-Shirt,Eyebogler,349,"1,299",73% 
42,Color Block Men Round Neck Multicolor T-Shirt,TRIPR,151,"1,399",89% 
43,Printed Men Round Neck Multicolor T-Shirt,UZee,151,"1,499",89% 
44,"Color Block Men Round Neck Grey, Black T-Shirt",TRIPR,192,"1,999",90% 
45,"Striped Men Round Neck Yellow, Black T-Shirt",Jump Cuts,199,"1,399",85% 
46,"Solid Men Round Neck Black, White T-Shirt",FastColors,246,"1,999",87% 
47,"Striped Men Hooded Neck Blue, Grey T-Shirt",HELMONT,151,999,84% 
48,Solid Men Henley Neck Black T-Shirt,BLIVE,193,"1,999",90% 
49,"Printed Men Polo Neck Dark Blue, White T-Shirt",TRIPR,234,"1,999",88% 
50,"Striped Men Round Neck Red, Grey T-Shirt",BLIVE,224,"1,399",83% 
51,Printed Men Round Neck Dark Green T-Shirt,TRIPR,159,"1,999",92% 
52,Printed Men Hooded Neck Red T-Shirt,TRIPR,276,"1,399",80% 
53,"Striped Men Round Neck Dark Blue, Red T-Shirt",BLIVE,205,999,79% 
54,Color Block Men Round Neck Yellow T-Shirt,TRIPR,205,"1,999",89% 
55,Color Block Men Round Neck Black T-Shirt,TRIPR,215,"1,999",89% 
56,"Striped Men Round Neck Dark Blue, White T-Shirt",BLIVE,193,999,80% 
57,"Printed Men Round Neck Dark Blue, Grey T-Shirt",Jump Cuts,188,"1,079",82% 
58,"Solid Men Round Neck White, Maroon T-Shirt",FastColors,246,"1,999",87% 
59,"Striped Men Round Neck Dark Blue, Grey T-Shirt",BLIVE,205,999,79% 
60,"Solid Men Round Neck Black, Red, White T-Shirt",FastColors,255,"1,999",87% 
61,Printed Men Round Neck Red T-Shirt,TRIPR,151,"1,399",89% 
62,"Striped Men Round Neck Green, Black T-Shirt",Jump Cuts,234,"1,549",84% 
63,Color Block Men Round Neck Multicolor T-Shirt,TRIPR,151,"1,399",89% 
64,"Color Block Men Round Neck White, Black T-Shirt",MANIAC,412,"1,629",74% 
65,"Solid Men Henley Neck Red, Black T-Shirt",BLIVE,159,"1,399",88% 
66,"Solid Men Mandarin Collar Black, White T-Shirt",TRIPR,262,"1,999",86% 
67,Solid Men Round Neck Brown T-Shirt,FastColors,249,"1,999",87% 
68,Printed Men Hooded Neck Yellow T-Shirt,FastColors,255,"1,999",87% 
69,Typography Men Round Neck Yellow T-Shirt,BLIVE,151,"1,399",89% 
70,"Solid Men Mandarin Collar Maroon, Black T-Shirt",TRIPR,281,"1,999",85% 
71,"Solid Men Round Neck Dark Blue, Red, Black T-Shirt",FastColors,246,"1,999",87% 
72,Solid Men Henley Neck Maroon T-Shirt,BLIVE,215,"1,999",89% 
73,Solid Men Round Neck Maroon T-Shirt,FastColors,450,"2,499",81% 
74,"Striped Men Round Neck Orange, Black T-Shirt",BLIVE,216,"1,399",84% 
75,"Color Block Men Hooded Neck Black, Red T-Shirt",HYDEY,163,999,83% 
76,Solid Men Hooded Neck Black T-Shirt,TRIPR,204,"1,999",89% 
77,Printed Men Round Neck Blue T-Shirt,FastColors,255,"1,999",87% 
78,"Printed Men Round Neck White, Red T-Shirt",FastColors,246,"1,999",87% 
79,Printed Men Polo Neck Dark Green T-Shirt,TRIPR,234,"1,999",88% 
80,Checkered Men Polo Neck Pink T-Shirt,Eyebogler,249,"1,299",80% 
81,"Solid Men Round Neck Blue, Yellow T-Shirt",FastColors,246,"1,999",87% 
82,"Color Block Men Round Neck Brown, Black T-Shirt",TRIPR,191,"1,999",90% 
83,"Solid Men Round Neck Grey, Blue T-Shirt",FastColors,450,"2,499",81% 
84,Printed Men Round Neck Grey T-Shirt,NB NICKY BOY,237,777,69% 
85,Solid Men Round Neck Black T-Shirt,UZee,151,999,84% 
86,"Printed Men Hooded Neck Black, Yellow T-Shirt",MANIAC,249,"1,249",80% 
87,Color Block Men Round Neck Grey T-Shirt,MANIAC,283,"1,199",76% 
88,Solid Men Round Neck Dark Blue T-Shirt,FastColors,263,"1,999",86% 
89,"Solid Men Round Neck White, Maroon T-Shirt",FastColors,255,"1,999",87% 
90,"Printed Men Round Neck Black, Grey T-Shirt",Jump Cuts,242,"1,519",84% 
91,Printed Men Round Neck Yellow T-Shirt,TRIPR,215,"1,399",84% 
92,Color Block Men Round Neck Grey T-Shirt,THE EG STORE,201,799,74% 
93,"Printed Men Round Neck Grey, Black T-Shirt",Jump Cuts,199,879,77% 
94,Color Block Men Round Neck Grey T-Shirt,FastColors,229,"1,999",88% 
95,"Solid Men Round Neck Black, White T-Shirt",FastColors,246,"1,999",87% 
96,Printed Men Polo Neck Black T-Shirt,TRIPR,253,"1,999",87% 
97,Checkered Men Polo Neck Maroon T-Shirt,Eyebogler,329,"1,299",74% 
98,Printed Men Round Neck Multicolor T-Shirt,Jump Cuts,386,"1,999",80% 
99,Solid Men Mandarin Collar Yellow T-Shirt,THE EG STORE,209,799,73% 
100,"Solid Men Round Neck Dark Blue, Black, Yellow T-Shirt",FastColors,246,"1,999",87% 
101,Typography Men Round Neck Black T-Shirt,BLIVE,188,"1,399",86% 
102,"Solid Men Round Neck Grey, Black T-Shirt",BLIVE,215,"1,999",89% 
103,"Printed Men Round Neck Yellow, Black T-Shirt",Jump Cuts,237,"1,519",84% 
104,Solid Men Round Neck Black T-Shirt,FastColors,246,"1,999",87% 
105,Solid Men Round Neck Black T-Shirt,FastColors,246,"1,999",87% 
106,"Color Block Men Round Neck White, Yellow, Black T-Shirt",FastColors,246,"1,999",87% 
107,Graphic Print Men Round Neck Black T-Shirt,TRIPR,159,899,82% 
108,Printed Men Round Neck Black T-Shirt,FastColors,255,"1,999",87% 
109,"Color Block Men Hooded Neck Yellow, White T-Shirt",HYDEY,164,999,83% 
110,Typography Men Round Neck Black T-Shirt,BLIVE,215,"1,399",84% 
111,"Striped Men Round Neck Yellow, Black T-Shirt",Jump Cuts,219,"1,549",85% 
112,"Printed Men Hooded Neck Black, White T-Shirt",FastColors,246,"1,999",87% 
113,Solid Men Round Neck Grey T-Shirt,FastColors,249,"1,999",87% 
